Drone,Miles,PackageName,Strategy,Status
Drone1,1.705160,1_package,bfs,Delivered
Drone2,1.323011,2_package,bfs,Delivered
Drone3,1.178710,3_package,bfs,Delivered
Drone4,1.995590,4_package,bfs,Delivered
Drone1,0.839665,5_package,bfs,Delivered
Drone3,0.776283,7_package,bfs,Delivered
Drone4,0.344282,8_package,bfs,Delivered
Security2,0.663356,8_package,bfs,Retrieved
Drone2,2.026638,6_package,bfs,Delivered
Drone1,1.059038,9_package,bfs,Delivered
Security1,0.705954,8_package,bfs,Retrieved
Security2,0.857542,8_package,bfs,Retrieved
Drone2,0.676566,12_package,bfs,Delivered
Security3,1.258954,8_package,bfs,Retrieved
Drone1,1.050693,13_package,bfs,Delivered
Drone3,2.424695,10_package,bfs,Delivered
Drone4,2.410481,11_package,bfs,Delivered
Drone1,0.491801,15_package,bfs,Delivered
Security1,1.459561,12_package,bfs,Retrieved
Drone2,2.406986,14_package,bfs,Delivered
Drone3,1.001225,16_package,bfs,Delivered
Drone4,0.777865,17_package,bfs,Delivered
Drone1,1.895513,18_package,bfs,Delivered
Drone3,1.037709,20_package,bfs,Delivered
Drone2,1.195920,19_package,bfs,Delivered
Drone4,0.703859,21_package,bfs,Delivered
Drone1,1.236563,22_package,bfs,Delivered
Security3,1.779343,19_package,bfs,Retrieved
Drone3,1.500105,23_package,bfs,Delivered
Security3,0.471406,21_package,bfs,Retrieved
Drone2,2.743559,24_package,bfs,Delivered
Drone3,1.928974,27_package,bfs,Delivered
Drone4,2.794343,25_package,bfs,Delivered
Drone1,2.846460,26_package,bfs,Delivered
Drone4,0.008123,30_package,bfs,Delivered
Drone2,2.538984,28_package,bfs,Delivered
Drone3,1.612071,29_package,bfs,Delivered
Drone1,0.208891,N/A,beeline,N/A
Drone2,1.082424,N/A,beeline,N/A
Drone4,0.618064,N/A,beeline,N/A
Drone3,1.089201,N/A,beeline,N/A
Drone1,1.079311,N/A,beeline,N/A
Drone2,0.549061,N/A,beeline,N/A
Drone3,0.831639,N/A,beeline,N/A
Drone1,0.234137,N/A,beeline,N/A
Drone4,0.862824,N/A,beeline,N/A
N/A,N/A,8_package,N/A,Stolen
Drone3,0.668986,N/A,beeline,N/A
Drone4,0.497809,N/A,beeline,N/A
N/A,N/A,8_package,N/A,Stolen
Drone2,0.600533,N/A,beeline,N/A
Drone1,0.581322,N/A,beeline,N/A
N/A,N/A,8_package,N/A,Stolen
N/A,N/A,8_package,N/A,Stolen
Drone2,0.408610,N/A,beeline,N/A
N/A,N/A,12_package,N/A,Stolen
Drone1,0.709617,N/A,beeline,N/A
Drone3,0.930668,N/A,beeline,N/A
Drone1,0.859589,N/A,beeline,N/A
Drone4,1.812126,N/A,beeline,N/A
Drone3,0.525429,N/A,beeline,N/A
Drone2,0.762911,N/A,beeline,N/A
Drone1,0.590155,N/A,beeline,N/A
Drone3,0.758410,N/A,beeline,N/A
Drone4,1.898568,N/A,beeline,N/A
N/A,N/A,19_package,N/A,Stolen
Drone2,1.269167,N/A,beeline,N/A
Drone4,0.842414,N/A,beeline,N/A
N/A,N/A,21_package,N/A,Stolen
Drone1,1.035097,N/A,beeline,N/A
Drone3,0.708573,N/A,beeline,N/A
Drone2,1.057364,N/A,beeline,N/A
Drone4,0.952478,N/A,beeline,N/A
Drone3,2.137643,N/A,beeline,N/A
