Drone, Miles, PackageName, Strategy, Status
Drone1, 1.489514, 1_package, dijkstra, Delivered
Drone2, 1.364472, 2_package, dijkstra, Delivered
Drone3, 1.250796, 3_package, dijkstra, Delivered
Drone4, 1.996062, 4_package, dijkstra, Delivered
Drone1, 0.886538, 5_package, dijkstra, Delivered
Drone4, 0.410968, 8_package, dijkstra, Delivered
Drone1, 0.944505, 9_package, dijkstra, Delivered
Drone2, 1.953682, 6_package, dijkstra, Delivered
Drone3, 1.737192, 7_package, dijkstra, Delivered
Drone2, 0.756968, 12_package, dijkstra, Delivered
Drone4, 2.376210, 10_package, dijkstra, Delivered
Drone3, 1.138673, 13_package, dijkstra, Delivered
Drone1, 2.385197, 11_package, dijkstra, Delivered
Drone4, 0.398932, 15_package, dijkstra, Delivered
Drone2, 2.035344, 14_package, dijkstra, Delivered
Drone3, 0.937742, 16_package, dijkstra, Delivered
Drone1, 0.821452, 17_package, dijkstra, Delivered
Drone2, 1.206566, 19_package, dijkstra, Delivered
Drone4, 1.886503, 18_package, dijkstra, Delivered
Drone3, 1.074295, 20_package, dijkstra, Delivered
Drone2, 1.192028, 22_package, dijkstra, Delivered
Drone1, 0.784545, 21_package, dijkstra, Delivered
Drone4, 1.506450, 23_package, dijkstra, Delivered
Security1, 1.105781, 16_package, dijkstra, Retrieved
Drone3, 2.677519, 24_package, dijkstra, Delivered
Drone4, 1.886561, 27_package, dijkstra, Delivered
Security2, 1.540467, 16_package, dijkstra, Retrieved
Drone2, 2.770954, 25_package, dijkstra, Delivered
Drone1, 2.802274, 26_package, dijkstra, Delivered
Drone2, 0.089354, 30_package, dijkstra, Delivered
Drone3, 2.603375, 28_package, dijkstra, Delivered
Security3, 0.471773, 30_package, dijkstra, Retrieved
Drone4, 1.653512, 29_package, dijkstra, Delivered
Security3, 0.725188, 30_package, dijkstra, Retrieved
Drone1, 0.209352, N/A, beeline, N/A
Drone2, 1.083307, N/A, beeline, N/A
Drone4, 0.621282, N/A, beeline, N/A
Drone3, 1.090649, N/A, beeline, N/A
Drone1, 1.076907, N/A, beeline, N/A
Drone2, 0.546621, N/A, beeline, N/A
Drone3, 0.833930, N/A, beeline, N/A
Drone1, 0.237738, N/A, beeline, N/A
Drone4, 0.864988, N/A, beeline, N/A
Drone4, 0.572542, N/A, beeline, N/A
Drone2, 0.598373, N/A, beeline, N/A
Drone1, 1.019406, N/A, beeline, N/A
Drone2, 0.416258, N/A, beeline, N/A
Drone3, 1.562166, N/A, beeline, N/A
Drone4, 0.667034, N/A, beeline, N/A
Drone3, 0.909376, N/A, beeline, N/A
Drone4, 0.845029, N/A, beeline, N/A
Drone2, 0.753118, N/A, beeline, N/A
Drone1, 1.823334, N/A, beeline, N/A
Drone3, 0.526804, N/A, beeline, N/A
Drone2, 0.988255, N/A, beeline, N/A
Drone4, 0.695109, N/A, beeline, N/A
Drone1, 1.892034, N/A, beeline, N/A
Drone3, 1.195216, N/A, beeline, N/A
N/A, N/A, 16_package, N/A, Stolen
N/A, N/A, 16_package, N/A, Stolen
Drone4, 0.706757, N/A, beeline, N/A
Drone2, 1.217074, N/A, beeline, N/A
Drone1, 0.921082, N/A, beeline, N/A
Drone3, 1.053231, N/A, beeline, N/A
Drone2, 0.956225, N/A, beeline, N/A
Drone4, 2.134837, N/A, beeline, N/A
N/A, N/A, 30_package, N/A, Stolen
N/A, N/A, 30_package, N/A, Stolen
