Drone,Miles,PackageName,Strategy,Status
Drone3,2.820945,3_package,dfs,Delivered
Drone2,8.250867,2_package,dfs,Delivered
Drone1,14.682958,1_package,dfs,Delivered
Drone1,1.913178,7_package,dfs,Delivered
Drone4,18.176976,4_package,dfs,Delivered
Drone3,20.677622,5_package,dfs,Delivered
Drone2,15.883052,6_package,dfs,Delivered
Drone1,11.030301,8_package,dfs,Delivered
Security1,0.501228,5_package,dfs,Retrieved
Security1,0.706741,8_package,dfs,Retrieved
Drone4,20.822370,9_package,dfs,Delivered
Security4,0.466404,9_package,dfs,Retrieved
Drone1,13.085161,12_package,dfs,Delivered
Security4,0.173733,9_package,dfs,Retrieved
Drone2,16.319444,11_package,dfs,Delivered
Drone3,18.286217,10_package,dfs,Delivered
Drone2,9.377715,15_package,dfs,Delivered
Drone4,13.954395,13_package,dfs,Delivered
Drone2,1.859775,17_package,dfs,Delivered
Security4,14.565167,12_package,dfs,Retrieved
Drone1,21.911715,14_package,dfs,Delivered
Security3,3.164973,14_package,dfs,Retrieved
Drone3,22.680285,16_package,dfs,Delivered
Drone2,10.595742,19_package,dfs,Delivered
Drone4,18.224491,18_package,dfs,Delivered
Drone1,20.896116,20_package,dfs,Delivered
Security3,2.208278,20_package,dfs,Retrieved
Drone2,17.228135,22_package,dfs,Delivered
Drone3,17.396163,21_package,dfs,Delivered
Drone4,12.505441,23_package,dfs,Delivered
Security3,0.445505,20_package,dfs,Retrieved
Security3,0.325776,21_package,dfs,Retrieved
Drone1,0.209480,N/A,beeline,N/A
Drone2,1.084240,N/A,beeline,N/A
Drone4,0.619571,N/A,beeline,N/A
Drone3,1.089443,N/A,beeline,N/A
Drone3,0.762393,N/A,beeline,N/A
Drone2,0.548798,N/A,beeline,N/A
Drone1,0.184964,N/A,beeline,N/A
Drone1,0.886159,N/A,beeline,N/A
Drone4,0.866005,N/A,beeline,N/A
Drone3,0.698689,N/A,beeline,N/A
Drone2,1.071133,N/A,beeline,N/A
Drone1,0.205192,N/A,beeline,N/A
N/A,N/A,5_package,N/A,Stolen
N/A,N/A,8_package,N/A,Stolen
Drone4,0.581151,N/A,beeline,N/A
N/A,N/A,9_package,N/A,Stolen
N/A,N/A,9_package,N/A,Stolen
N/A,N/A,12_package,N/A,Stolen
Drone1,0.408942,N/A,beeline,N/A
Drone2,0.352800,N/A,beeline,N/A
Drone3,0.930847,N/A,beeline,N/A
Drone2,1.683246,N/A,beeline,N/A
Drone4,0.230420,N/A,beeline,N/A
Drone2,1.263256,N/A,beeline,N/A
Drone1,0.235365,N/A,beeline,N/A
N/A,N/A,14_package,N/A,Stolen
N/A,N/A,14_package,N/A,Stolen
Drone2,0.990389,N/A,beeline,N/A
Drone3,1.592795,N/A,beeline,N/A
N/A,N/A,16_package,N/A,Stolen
Drone4,0.697337,N/A,beeline,N/A
N/A,N/A,20_package,N/A,Stolen
Drone1,1.215124,N/A,beeline,N/A
N/A,N/A,20_package,N/A,Stolen
N/A,N/A,21_package,N/A,Stolen
N/A,N/A,21_package,N/A,Stolen
Drone2,1.229194,N/A,beeline,N/A
Drone4,0.712104,N/A,beeline,N/A
Drone3,0.921396,N/A,beeline,N/A
